idNum,preRace,race,gender
17-000003,Unknown,Unknown,Unknown
17-000007,Unknown,Unknown,Male
17-000073,Unknown,White,Female
17-000092,Unknown,East African,Male
17-000098,Unknown,White,Female
17-000111,Unknown,East African,Male
17-000114,Unknown,Black,Male
17-000120,Unknown,Other,Female
17-000127,Unknown,White,Male
17-000139,Unknown,Black,Male
17-000149,White,Unknown,Male
17-000161,NA,NA,NA
17-000169,Unknown,Black,Male
17-000176,Unknown,Black,Male
17-000204,Unknown,White,Female
17-000211,Unknown,Unknown,Unknown
17-000220,Unknown,White,Female
17-000224,NA,NA,NA
17-000225,Unknown,White,Male
17-000236,Black,Unknown,Male
17-000244,Unknown,White,Male
17-000266,Unknown,Black,Female
17-000290,Black,Black,Male
17-000298,Unknown,White,Female
17-000317,Unknown,White,Male
17-000333,Unknown,Black,Male
17-000347,Unknown,Unknown,Unknown
17-000362,Unknown,East African,Male
17-000365,NA,NA,NA
17-000380,Unknown,White,Male
17-000388,Unknown,Unknown,Unknown
17-000395,Black,Unknown,Unknown
17-000414,NA,NA,NA
17-000421,NA,NA,NA
17-000426,NA,NA,NA
17-000429,Unknown,White,Female
17-000473,Unknown,Asian,Male
17-000488,Black,Unknown,Unknown
17-000522,Unknown,White,Female
17-000536,Black,Unknown,Male
17-000547,Unknown,Unknown,Unknown
17-000549,Unknown,Unknown,Unknown
17-000571,NA,NA,NA
17-000576,Unknown,Unknown,Unknown
17-000601,NA,NA,NA
17-000619,Unknown,Black,Male
17-000628,Unknown,White,Male
17-000637,Other,Other,Unknown
17-000639,Other,Other,Unknown
17-000646,Other,Other,Unknown
17-000651,NA,NA,NA
17-000668,Unknown,Unknown,Unknown
17-000713,Unknown,Native American,Male
17-000715,Black,Unknown,Male
17-000744,NA,NA,NA
17-000761,Unknown,Black,Female
17-000824,NA,NA,NA
17-000828,Unknown,White,Female
17-000837,White,White,Female
17-000848,NA,NA,NA
17-000878,Unknown,White,Male
17-000880,Unknown,East African,Male
17-000894,Unknown,Black,Female
17-000899,Unknown,East African,Male
17-001010,Black,Black,Female
17-001021,NA,NA,NA
17-001061,Unknown,East African,Male
17-001087,Unknown,White,Female
17-001099,Unknown,Unknown,Unknown
17-001165,Unknown,Black,Male
17-001189,White,White,Female
17-001190,White,White,Male
17-001203,NA,NA,NA
17-001206,Unknown,Other,Male
17-001210,Unknown,White,Male
17-001220,Black,Black,Male
17-001218,Unknown,Unknown,Unknown
17-001225,Unknown,White,Male
17-001231,Unknown,White,Male
17-001244,White,White,Male
17-001246,Unknown,Unknown,Unknown
17-001247,Unknown,Black,Male
17-001248,Unknown,Unknown,Unknown
17-001249,Black,Black,Male
17-001250,Native American,Native American,Female
17-001251,NA,NA,NA
17-001259,Unknown,Black,Male
17-001264,Unknown,Unknown,Unknown
17-001269,Unknown,Unknown,Unknown
17-001289,NA,NA,NA
17-001314,Unknown,Unknown,Unknown
17-001324,White,White,Male
17-001327,NA,NA,NA
17-001340,NA,NA,NA
17-001360,Unknown,White,Male
17-001361,Unknown,Other,Male
17-001375,Unknown,Black,Male
17-001376,Unknown,East African,Male
17-001395,Unknown,Unknown,Unknown
17-001408,Black,Black,Male
17-001415,Unknown,Black,Male
