idNum,lat,long,policePrecinct,neighborhood
17-000003,44.96661711,-93.24645826,1,Cedar Riverside
17-000007,44.98045,-93.27134,1,Downtown West
17-000073,44.94835,-93.27538,5,Whittier
17-000092,44.94836,-93.28135,5,Whittier
17-000098,44.9790778,-93.26207579,1,Downtown West
17-000111,44.98053512,-93.26362691,1,Downtown West
17-000114,44.98080828,-93.27314066,1,Downtown West
17-000120,44.9820925,-93.23815506,2,Marcy Holmes
17-000127,44.99031863,-93.25204216,2,Nicollet Island - East Bank
17-000139,45.01327,-93.30824,4,Folwell
17-000149,44.9645834,-93.27658196,5,Steven's Square - Loring Heights
17-000161,44.97308,-93.24772,1,Cedar Riverside
17-000169,44.99871047,-93.2530799,2,St. Anthony East
17-000176,44.97957,-93.27257,1,Downtown West
17-000204,44.98045,-93.27134,1,Downtown West
17-000211,44.98078144,-93.27429567,1,Downtown West
17-000220,44.9915,-93.30572,4,Willard - Hay
17-000224,44.98124,-93.27254,1,Downtown West
17-000225,44.99871229,-93.25183571,2,Logan Park
17-000236,44.94925,-93.29573,5,Lowry Hill East
17-000244,44.99827813,-93.28172579,4,Near - North
17-000266,44.99738,-93.28799,4,Near - North
17-000290,44.98074363,-93.28959927,4,Sumner - Glenwood
17-000298,44.94836,-93.29065,5,CARAG
17-000317,44.94836,-93.28555,5,Whittier
17-000333,44.99916,-93.29564,4,Near - North
17-000347,44.96091,-93.28801,5,Whittier
17-000362,44.94977,-93.3138,5,Cedar - Isles - Dean
17-000365,45.01043723,-93.29305945,4,Hawthorne
17-000380,44.96419791,-93.27857261,5,Steven's Square - Loring Heights
17-000388,44.95463641,-93.28131035,5,Whittier
17-000395,45.02392802,-93.23903648,2,Audubon Park
17-000414,44.97246,-93.26489,1,Elliot Park
17-000421,44.9915029,-93.30508811,4,Willard - Hay
17-000426,44.90900519,-93.21456322,3,Minnehaha
17-000429,44.94473,-93.28814,5,Lyndale
17-000473,45.01266897,-93.24734147,2,Windom Park
17-000488,44.94044075,-93.27791575,5,Lyndale
17-000522,45.00482,-93.29564,4,Jordan
17-000536,44.97092,-93.25508,1,Downtown East
17-000547,44.938634,-93.24228094,3,Corcoran
17-000549,44.93773,-93.24058,3,Standish
17-000571,44.99914,-93.29105,4,Near - North
17-000576,45.04118133,-93.29786418,4,Lind - Bohanon
17-000601,45.0212088,-93.28804287,4,McKinley
17-000619,45.04842509,-93.29406668,4,Lind - Bohanon
17-000628,44.94660001,-93.28366611,5,Lyndale
17-000637,44.93769702,-93.28627059,5,King Field
17-000639,44.93950519,-93.29265128,5,CARAG
17-000646,44.94040713,-93.29200498,5,CARAG
17-000651,45.03939592,-93.29015499,4,Lind - Bohanon
17-000668,44.92955277,-93.28438902,5,King Field
17-000713,44.95373,-93.25627,3,Midtown Phillips
17-000715,44.96772584,-93.28135089,1,Loring Park
17-000744,44.8949328,-93.2781055,5,Windom
17-000761,44.99198,-93.29412,4,Near - North
17-000824,45.02304272,-93.29058037,4,McKinley
17-000828,44.97994,-93.23441,2,Marcy Holmes
17-000837,44.94836,-93.25505,3,Midtown Phillips
17-000848,44.95777922,-93.21193648,2,Prospect Park - East River Road
17-000878,44.99162624,-93.21137653,2,Mid - City Industrial
17-000880,44.9564318,-93.28550353,5,Whittier
17-000894,44.99914804,-93.29181556,4,Near - North
17-000899,44.96269,-93.26895,3,Ventura Village
17-001010,44.95646,-93.24735,3,East Phillips
17-001021,44.94149948,-93.27431455,3,Central
17-001061,45.03554,-93.26289,2,Columbia Park
17-001087,44.93863463,-93.2779141,5,Lyndale
17-001099,44.98355662,-93.3134127,4,Harrison
17-001165,44.96091,-93.26511,3,Ventura Village
17-001189,44.98136499,-93.21368718,2,Como
17-001190,44.95642818,-93.27786411,5,Whittier
17-001203,44.99507936,-93.25561273,2,St. Anthony East
17-001206,44.96826233,-93.28186087,1,Loring Park
17-001210,44.98355662,-93.3134127,4,Harrison
17-001220,44.96091889,-93.2937258,5,East Isles
17-001218,44.9386021,-93.29838599,5,CARAG
17-001225,44.95196,-93.2868,5,Whittier
17-001231,44.94835,-93.27668,5,Whittier
17-001244,44.94044075,-93.27791575,5,Lyndale
17-001246,44.89527691,-93.31628325,5,Armatage
17-001247,45.02664866,-93.28807926,4,Webber - Camden
17-001248,45.01759598,-93.28650355,4,McKinley
17-001249,44.96269,-93.27656,5,Steven's Square - Loring Heights
17-001250,44.95779751,-93.24733141,3,East Phillips
17-001251,44.97134,-93.24702,1,Cedar Riverside
17-001259,45.00783,-93.30821,4,Jordan
17-001264,45.01107619,-93.26950762,2,Bottineau
17-001269,44.89927,-93.24731,3,Diamond Lake
17-001289,45.00494669,-93.27152318,2,Sheridan
17-001314,44.95284615,-93.25247076,3,Midtown Phillips
17-001324,44.9951,-93.24225,2,Beltrami
17-001327,45.00307,-93.26616,2,Sheridan
17-001340,44.98078144,-93.27429567,1,Downtown West
17-001360,44.96747488,-93.27781525,1,Loring Park
17-001361,44.95374,-93.28552,5,Whittier
17-001375,44.98080828,-93.27314066,1,Downtown West
17-001376,44.95195,-93.28299,5,Whittier
17-001395,45.02499559,-93.30835804,4,Victory
17-001408,44.96180795,-93.28800649,5,Lowry Hill East
17-001415,44.94835,-93.26522,3,Phillips West
17-001417,44.97792701,-93.2795086,1,Downtown West
17-001424,44.97632,-93.26163,1,Downtown West
17-001429,44.9099012,-93.22030418,3,Minnehaha
17-001433,45.00599,-93.30189,4,Jordan
17-001454,44.9099012,-93.22030418,3,Minnehaha
17-001457,44.95777856,-93.29509939,5,Lowry Hill East
17-001472,44.93139645,-93.27791653,5,King Field
17-001475,44.91873473,-93.27795772,5,Tangletown
17-001491,44.99871,-93.25626,2,St. Anthony East
17-001545,45.01317,-93.26465,2,Bottineau
17-001551,44.92772137,-93.29082674,5,East Harriet
17-001553,44.94836,-93.2881,5,Lowry Hill East
17-001558,44.94834,-93.27969,5,Whittier
17-001562,44.94955167,-93.28134598,5,Whittier
17-001591,45.04759,-93.30931,4,Shingle Creek
17-001598,45.02047,-93.31081,4,Cleveland
17-001601,44.95553,-93.27659,5,Whittier
17-001619,44.94958302,-93.27664165,5,Whittier
17-001629,44.95195,-93.28426,5,Whittier
17-001630,44.9627,-93.26255,3,Ventura Village
17-001631,44.94834704,-93.27880784,5,Lyndale
17-001638,44.92159466,-93.27430491,3,Regina
17-001643,45.01316,-93.25914,2,Holland
17-001651,44.96332683,-93.27781326,5,Steven's Square - Loring Heights
17-001659,44.98021301,-93.23509281,2,Marcy Holmes
17-001689,44.91517938,-93.31886431,5,Fulton
17-001696,44.94835457,-93.28218485,5,Lyndale
17-001704,44.92242878,-93.31890146,5,Linden Hills
17-001717,44.9833096,-93.27077411,1,Downtown West
17-001720,45.04759,-93.30931,4,Shingle Creek
17-001721,45.03853,-93.2875,4,Lind - Bohanon
17-001759,45.03043868,-93.2893657,4,Webber - Camden
17-001770,44.95015004,-93.27536654,5,Whittier
17-001771,45.01266624,-93.24912093,2,Holland
17-001782,45.03043868,-93.2893657,4,Webber - Camden
17-001784,44.95074395,-93.27878964,5,Whittier
17-001792,44.95195,-93.25374,3,Midtown Phillips
17-001808,44.98485046,-93.24510888,2,Marcy Holmes
17-001818,44.99968546,-93.2879891,4,Hawthorne
17-001821,44.94835309,-93.2760326,5,Whittier
17-001852,44.95284261,-93.27965923,5,Whittier
17-001856,44.95282851,-93.27314723,5,Whittier
17-001882,45.03775604,-93.30916026,4,Victory
17-001887,45.00593,-93.24915,2,Logan Park
17-001903,44.98271,-93.24132,2,Marcy Holmes
17-001925,45.03775604,-93.30916026,4,Victory
17-001931,44.89304316,-93.27938185,5,Windom
17-001967,44.94836,-93.29828,5,ECCO
17-001978,44.99913768,-93.28875577,4,Hawthorne
17-001986,45.02485438,-93.29059709,4,Webber - Camden
17-002015,45.00111564,-93.24099042,2,Northeast Park
17-002018,44.99149,-93.24095,2,Como
17-002061,44.96932975,-93.28185409,1,Loring Park
17-002113,44.9641117,-93.22802405,3,Seward
17-002129,44.97688559,-93.28037165,1,Downtown West
17-002139,44.97801922,-93.27702537,1,Downtown West
17-002174,44.92873,-93.24606,3,Standish
17-002176,44.94044075,-93.27791575,5,Lyndale
17-002187,44.94044075,-93.27791575,5,Lyndale
17-002190,44.97076328,-93.24725145,1,Cedar Riverside
17-002220,44.94841574,-93.32280644,5,Cedar - Isles - Dean
17-002259,44.97845913,-93.27733144,1,Downtown West
17-002281,44.9572173,-93.24485196,3,East Phillips
17-002293,44.9627,-93.29179,5,Lowry Hill
17-002296,44.9768075,-93.27643103,1,Downtown West
17-002310,44.96316564,-93.28807331,5,Steven's Square - Loring Heights
17-002312,45.03041294,-93.23398346,2,Waite Park
17-002315,45.01316,-93.24912,2,Holland
17-002339,44.94660622,-93.28748225,5,Lyndale
17-002340,44.9513432,-93.27966979,5,Whittier
17-002342,44.93863463,-93.2779141,5,Lyndale
17-002362,44.95733,-93.2855,5,Whittier
17-002386,45.00930468,-93.26616923,2,Bottineau
17-002396,44.97430098,-93.25223244,1,Downtown East
17-002421,44.96986,-93.27933,1,Loring Park
17-002424,44.97080927,-93.27339651,1,Downtown West
17-002445,44.93769206,-93.28756025,5,King Field
17-002453,44.9800647,-93.27188308,1,Downtown West
17-002466,44.97677369,-93.27736013,1,Downtown West
17-002495,44.90085942,-93.21783647,3,Morris Park
17-002519,44.91144236,-93.27463391,3,Field
17-002531,45.03564138,-93.23268357,2,Waite Park
17-002534,44.95680675,-93.29584001,5,Lowry Hill East
17-002537,44.95641322,-93.29659612,5,East Isles
17-002548,44.9483642,-93.29001302,5,CARAG
17-002570,44.96248256,-93.30839182,5,Kenwood
17-002574,44.96593161,-93.30325972,5,Lowry Hill
17-002589,44.94881103,-93.29827927,5,Lowry Hill East
17-002633,45.01939931,-93.28498382,4,McKinley
17-002634,44.96269264,-93.27860914,5,Whittier
