idNum,date,problem,citationIssued,personSearch,vehicleSearch
17-000003,2017-01-01T00:00:42Z,suspicious,NA,NO,NO
17-000007,2017-01-01T00:03:07Z,suspicious,NA,NO,NO
17-000073,2017-01-01T00:23:15Z,traffic,NA,NO,NO
17-000092,2017-01-01T00:33:48Z,suspicious,NA,NO,NO
17-000098,2017-01-01T00:37:58Z,traffic,NA,NO,NO
17-000111,2017-01-01T00:46:48Z,traffic,NA,NO,NO
17-000114,2017-01-01T00:48:46Z,suspicious,NA,NO,NO
17-000120,2017-01-01T00:50:55Z,traffic,NA,NO,NO
17-000127,2017-01-01T00:57:10Z,traffic,NA,NO,NO
17-000139,2017-01-01T01:05:50Z,traffic,NA,NO,NO
17-000149,2017-01-01T01:09:13Z,suspicious,NA,NO,NO
17-000161,2017-01-01T01:15:01Z,traffic,NA,NA,NA
17-000169,2017-01-01T01:19:59Z,traffic,NA,NO,NO
17-000176,2017-01-01T01:22:01Z,traffic,NA,NO,NO
17-000204,2017-01-01T01:41:24Z,suspicious,NA,NO,NO
17-000211,2017-01-01T01:45:09Z,suspicious,NA,NO,NO
17-000220,2017-01-01T01:51:02Z,suspicious,NA,NO,NO
17-000224,2017-01-01T01:52:52Z,suspicious,NA,NA,NA
17-000225,2017-01-01T01:53:42Z,traffic,NA,NO,NO
17-000236,2017-01-01T02:04:13Z,suspicious,NA,NO,NO
17-000244,2017-01-01T02:09:42Z,traffic,NA,NO,NO
17-000266,2017-01-01T02:22:14Z,traffic,NA,YES,YES
17-000290,2017-01-01T02:33:22Z,suspicious,NA,YES,NO
17-000298,2017-01-01T02:36:22Z,traffic,NA,NO,NO
17-000317,2017-01-01T02:45:38Z,traffic,NA,NO,NO
17-000333,2017-01-01T02:53:15Z,traffic,NA,NO,NO
17-000347,2017-01-01T03:04:40Z,traffic,NA,NO,NO
17-000362,2017-01-01T03:14:37Z,traffic,NA,NO,NO
17-000365,2017-01-01T03:16:11Z,suspicious,NA,NA,NA
17-000380,2017-01-01T03:23:42Z,traffic,NA,NO,NO
17-000388,2017-01-01T03:26:59Z,suspicious,NA,NO,NO
17-000395,2017-01-01T03:33:29Z,suspicious,NA,NO,NO
17-000414,2017-01-01T04:00:02Z,suspicious,NA,NA,NA
17-000421,2017-01-01T04:05:54Z,suspicious,NA,NA,NA
17-000426,2017-01-01T04:20:33Z,suspicious,NA,NA,NA
17-000429,2017-01-01T04:27:38Z,traffic,NA,NO,NO
17-000473,2017-01-01T05:46:55Z,traffic,NA,NO,NO
17-000488,2017-01-01T06:47:07Z,suspicious,NA,NO,NO
17-000522,2017-01-01T08:31:30Z,traffic,NA,NO,NO
17-000536,2017-01-01T09:02:59Z,suspicious,NA,NO,NO
17-000547,2017-01-01T09:48:36Z,suspicious,NA,NO,NO
17-000549,2017-01-01T09:51:43Z,suspicious,NA,NO,NO
17-000571,2017-01-01T10:35:17Z,traffic,NA,NA,NA
17-000576,2017-01-01T10:41:29Z,suspicious,NA,NO,NO
17-000601,2017-01-01T11:49:49Z,suspicious,NA,NA,NA
17-000619,2017-01-01T12:43:26Z,suspicious,NA,YES,NO
17-000628,2017-01-01T13:02:57Z,traffic,NA,NO,NO
17-000637,2017-01-01T13:24:55Z,suspicious,NA,NO,NO
17-000639,2017-01-01T13:34:06Z,suspicious,NA,NO,NO
17-000646,2017-01-01T13:41:02Z,suspicious,NA,NO,NO
